NGSS Collaborative Network at the Soledad Unified District Office,171459,sTEAM
Quality Matters: FCC site tour,171514,
BeGLAD Certification 6-Day (ELD for 4th Grade and Above),171857,langLit
Supervisor of Attendance Certification Training,172306,
CA CSEFEL Teaching Pyramid MAKE & TAKE,172520,
BeGLAD Leadership Session - ADMIN,172707,langLit
SELPA: Fagen Friedman & Fulfrost: Fall 2019 Special Education Symposium,172829,
Tier 2/3 Expanded for SUHSD,173242,
"Tier 1 Expanded, Day 1 at SUHSD",173246,
Tier 3 at SUHSD,173253,
"PBIS, Tier 1 Review",173374,
Tier 2 Review,173376,
Tier 2/3 Review,173382,
Monterey County Regional Convening,173962,
Sexual Harassment Prevention Training,173977,
National Equity Project: DESIGN FOR EQUITY IN COMPLEX SYSTEMS INSTITUTE,174012,
Quality Matters: Family Child Care DRDP Online Support,174013,
Census 2020: Count Me In!,174194,
Board President Training,174437,
Design Camp Monterey 2019,174582,sTEAM
Situational Awareness and Safety,174799,
Active Shooter Prevention Training,174814,
CSSP and Active Shooter Training,174820,
The Power of CORE,175023,
CDE: Disproportionality Self-Study Training,175469,
Google Suite Training,175695,sTEAM
Constitution Project: Hamilton!,175823,langLit
Student Behavior Intervention Strategies & Supports,176035,
SELPA: Parent Workshop: IEP Basics,177052,
SELPA: Parent Workshop: IEP Basics,177054,
Quality Matters: Design in Mind: Unpacking the ecology of deeper learning,177089,
Monterey County Foundation Adaptive Schools Seminars (Cohort A),177112,
Foundation Adaptive Schools Seminars (Cohort A),177114,
Visible Learning For Mathematics,177116,sTEAM
Quality Matters: No Small Matter - Viewing & Reflection,177181,
Mindfulness Traininig,177399,
"PBIS Tier 2/3, Day 4",177419,
Exponential Leadership,177422,
Interpreting IEP Meetings (English/Spanish),177503,
Computer Science and Digital Learning Collaborative Network,177693,sTEAM
Foundation Adaptive Schools Seminars (Cohort B),177998,
Advanced Adaptive Schools Seminars,178000,
Schools Legal Update,178012,
TUPE Coordinator Team Meetings,178015,
BeGLAD 2-Day Training,178065,langLit
BeGLAD Certification 6-Day,178066,langLit
CAST Academy,178145,sTEAM
Early Literacy and Language Series,178363,
SELPA: Behavior Series Part 3: Behavior Pathway Charting,178646,
SELPA: Writing IEP Goals that Align to Common Core State Standards,178810,
Quality Matters: Leadership Network- Managing an Early Learning Center,178840,
Quality Matters: Leadership Network presents Director 101 - Now what?,178842,
Lead Counselor Team Meetings,178878,
Improvement Science: Continuing the Learning Journey,178931,
Truancy Abatement Program Workshop,179251,
CLMI Monterey County Regional Convening featuring Carmen Medina,179317,
Teaching Pyramid Make and Take- Social Emotional Strategies,179434,
Implementing the FAIR Education Act and Teaching LGBT History for 11th Grade History Teachers,179555,langLit
Lead Counselor Team Meetings,179696,
World Language Standards,180202,langLit
LEGO Education PBL Workshop,180373,sTEAM
"The Evolution of AAC: History, Current Trends and Best Practices",180509,
"Civics - Mikva Challenge: Project Soapbox, History-Social Science/CLIC & Law Day 2020",180575,langLit
Implicit Bias in Mathematics Education,180696,sTEAM
LEAVES AND THE INTERACTIVE PROCESS WITH RACHEL SHAW,180801,
Dare to Lead for Educators,181186,
MTSS Foundations Training,181424,
Early Language and Literacy Academy/Series Collaboration Days,181439,langLit
NGSS Collaborative Network: South Monterey County,181700,sTEAM
CA CSEFEL Teaching Pyramid MAKE & TAKE,181705,sTEAM
Visible Learning For Mathematics Institute 2020,181818,sTEAM
Preschool Inclusion 101,181899,
QM Higher Ed Stipend Informational Night,182164,
California Health Framework,182194,
NGSS Collaborative Network: South Monterey County (Soledad),182250,sTEAM
CYBERBULLYING,182266,
Quality Matters: Early Literacy for Family Child Care Educators,182273,
Fagen Friedman & Fulfrost Special Education Symposium,182548,
CA State Site Coordinator Network Virtual Convening @ MCOE,182568,
CA State Site Coordinator Network Virtual Convening @ SCCOE,182570,
Special Education Training For School Counselors,182872,
LCAP Template Refresher and Writing Session,182878,
MCOE Mental Health Break,182879,
Quality Matters: CDTC Professional Growth Advisor Training,183607,
